gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
17,10641.25,9041.3,3324.84,1501.09,3,3,100,100,5,1,40,134,13866,10787,0,1497,298,5702,6,9457,-1
18,13389.025,9403.425,3539.17,1823.27,3,3,100,100,1,5,40,168,14004,7351,0,4203,759,11072,0,17252,-1
19,13984.7,9253.45,4005.73,2229.45,3,3,80,100,4,7,20,144,12406,4839,0,8589,905,10778,4,14291,-1
20,14182.0,10175.075,4540.0,2667.27,3,3,100,100,5,8,40,166,12852,4256,0,11408,1119,14941,2,20954,-1
21,15424.75,10489.725,4783.26,2897.61,3,3,100,100,1,6,40,138,18497,3575,0,8106,832,14974,1,22466,-1
22,19932.325,10489.725,4996.21,3163.8,3,3,100,100,1,8,40,163,20869,2678,0,10852,786,10811,3,17524,-1
23,22847.85,10489.725,5581.47,3565.54,3,3,100,100,1,12,40,167,11108,3719,0,16181,1197,17569,25,46011,-1
24,21157.9,10489.725,5818.55,3678.72,3,3,100,100,2,13,40,153,11842,2542,0,13104,698,16295,12,46363,-1
25,21157.9,10489.725,5805.2,3730.66,3,3,100,100,2,11,40,154,19259,2833,0,11508,517,26607,9,40108,-1
26,21157.9,10489.725,5620.61,3826.84,3,3,100,100,2,12,40,142,19770,1163,0,5798,67,11818,1,17103,-1
27,21157.9,10489.725,5554.84,3986.19,3,3,100,100,1,12,40,150,18151,2158,0,7949,204,24174,8,52099,-1
28,21157.9,10489.725,5555.26,4062.0,3,3,100,100,1,14,40,131,13738,741,0,7146,95,13960,3,26221,-1
29,21157.9,10489.725,5431.68,4106.05,3,3,100,100,1,14,40,141,19244,1793,0,9169,407,18585,5,30652,-1
30,21157.9,11288.3,5327.32,4266.87,3,3,100,100,1,3,40,147,12053,2145,0,11140,210,21396,2,42452,-1
31,21157.9,17348.125,5244.55,4739.57,3,4,100,100,1,2,40,146,11547,2418,0,12932,138,27189,1,64576,-1
32,21157.9,17348.125,5203.88,5065.73,3,3,100,100,1,2,40,151,11172,1465,0,12086,54,28628,3,54874,-1
33,21157.9,17348.125,5026.71,5394.36,3,3,100,100,1,2,40,154,11257,4171,0,15973,44,23117,1,53137,-1
34,21157.9,17348.125,4923.4,5311.56,3,3,100,100,1,2,40,144,10880,3768,0,10754,81,14104,1,20232,-1
35,21157.9,17262.475,4766.34,5274.98,3,3,100,100,1,1,40,152,13980,4638,0,14204,258,30183,3,68240,-1
36,21157.9,17262.475,4827.87,5266.92,3,3,100,100,1,1,40,165,15145,6971,0,17272,533,23473,1,49060,-1
37,18523.925,17262.475,4872.07,5065.84,3,3,100,100,1,1,40,158,14535,3557,0,8633,30,10179,1,16995,-1
38,18523.925,17262.475,4866.84,4927.36,3,3,100,100,1,1,40,138,15882,2179,0,7275,32,11187,1,20280,-1
39,18523.925,17262.475,4915.75,4781.46,3,3,100,100,1,1,40,146,14648,4787,0,8851,90,11650,0,19787,-1
40,18523.925,17262.475,4649.52,4662.04,2,3,100,100,1,1,40,127,17277,4647,0,7919,30,9913,0,16582,-1
41,18523.925,17262.475,4290.94,4560.74,2,3,100,100,1,1,40,102,12179,3605,0,6278,42,5465,2,6085,-1
42,18523.925,17262.475,3883.37,4566.14,3,3,100,100,1,1,40,106,16149,2501,0,6548,57,4023,3,5291,-1
43,18523.925,12049.25,3442.98,4388.26,2,2,100,100,1,3,40,71,16876,2572,0,2833,1,547,2,2004,-1
44,18523.925,11840.475,3161.53,4333.64,2,2,100,100,1,2,40,65,17442,2496,0,5341,52,1796,1,4206,-1
45,18523.925,11840.475,2871.66,4113.31,3,3,100,100,1,2,40,79,20677,5549,0,4698,10,2463,3,6556,-1
46,18523.925,11840.475,2506.36,3916.82,2,2,100,100,1,2,40,74,19178,7068,0,3068,3,976,4,2533,-1
47,18523.925,11840.475,2172.61,3515.42,2,2,100,99,1,2,39,47,16734,5741,0,1053,0,228,1,717,-1
48,18523.925,11840.475,1973.61,3264.92,2,2,100,100,1,2,40,37,16662,4581,0,737,4,269,0,511,-1
49,18523.925,11840.475,1723.63,2964.74,2,2,100,100,1,2,40,36,17600,6145,0,748,0,363,3,463,-1
50,18523.925,11840.475,1534.51,2741.72,2,2,100,100,1,2,40,34,13566,6017,0,621,7,474,7,197,-1
51,18523.925,11840.475,1482.5,2525.38,2,2,100,80,1,2,20,36,12761,7297,0,545,0,668,1,249,-1
52,18523.925,11840.475,1417.7,2353.01,2,2,100,81,1,2,21,45,10800,5794,0,673,3,1492,5,366,-1
53,12335.8,11840.475,1385.82,2197.03,2,2,100,80,1,1,20,46,9574,5145,0,557,6,1434,2,312,-1
54,12335.8,10243.8,1328.45,2247.93,2,2,100,100,1,4,40,81,14445,8038,0,1840,34,2818,1,494,-1
55,12335.8,10243.8,1276.53,2301.09,2,2,100,100,1,4,40,54,12355,4886,0,1618,63,2906,1,558,-1
56,12335.8,10243.8,1030.22,2367.39,2,2,100,81,1,4,21,39,11353,7124,0,673,30,1812,2,137,-1
57,12335.8,10243.8,831.64,2481.06,2,2,100,100,1,4,40,46,11076,6928,0,1687,38,2553,3,436,-1
58,12335.8,9920.925,529.94,2559.34,2,2,100,100,1,1,40,34,10249,7241,0,414,22,2560,2,144,-1
59,12335.8,9920.925,519.22,2601.11,2,2,100,100,1,1,40,28,7748,3223,0,434,39,1223,0,19,-1
60,12335.8,9920.925,420.33,2331.56,2,2,100,100,1,1,40,21,9094,5144,0,213,8,220,0,1,-1
61,12335.8,4957.4,193.79,2195.39,2,2,100,100,1,20,40,11,9115,7838,0,359,25,21,1,17,-1
62,12335.8,4957.4,17.34,2084.77,2,2,100,100,1,20,40,14,10480,8459,0,389,0,162,1,48,-1
63,12335.8,4957.4,86.73,1956.85,2,2,100,100,1,20,40,14,8837,5531,0,259,1,34,4,19,-1
64,12335.8,4957.4,253.43,1794.77,2,2,100,100,1,20,40,17,8405,5231,0,495,8,509,0,26,-1
65,12335.8,4957.4,483.66,1730.15,2,2,100,100,1,20,40,24,4663,3291,0,860,41,699,4,54,-1
66,12335.8,5099.75,611.18,1836.93,2,2,100,100,1,20,40,32,4490,2930,0,983,134,1321,4,284,-1
67,12335.8,5145.475,808.93,1957.24,2,2,100,100,1,20,40,49,4404,3143,0,934,33,1827,4,739,-1
68,12335.8,5099.75,887.34,2236.87,2,2,100,100,1,20,40,48,3582,2284,0,1454,45,2809,3,1524,-1
69,12335.8,5455.6,842.68,2494.32,2,2,100,100,1,20,40,67,7999,4698,0,2026,193,3753,13,4358,-1
70,12335.8,5455.6,919.54,2575.1,2,2,100,100,1,20,40,43,7818,2917,0,1275,14,2690,0,2521,-1
71,12335.8,5455.6,1121.11,2757.17,2,2,100,100,1,20,40,76,7267,2914,0,1960,286,5604,3,6721,-1
72,12335.8,5455.6,1151.61,2858.8,2,2,100,100,1,20,40,91,11928,4027,0,2601,237,7702,6,13509,-1
73,12335.8,6145.5,1180.75,3027.79,2,2,100,100,1,16,40,82,8353,3905,0,4366,136,6564,4,21442,-1
74,12335.8,6145.5,1179.73,3120.27,2,2,100,100,1,20,40,54,10652,3429,0,2668,174,5214,1,26019,-1
75,12335.8,5956.0,1118.98,3361.47,2,2,100,100,1,20,40,78,10214,3474,0,3127,156,8559,5,25992,-1
76,12335.8,10644.075,1040.69,3605.39,2,3,100,100,1,1,40,68,8938,2877,0,3107,180,7627,3,59780,-1
77,12335.8,10644.075,874.41,3867.05,2,3,100,100,1,4,40,85,10510,3706,0,10049,376,11525,1,45869,-1
78,12335.8,10966.5,748.71,4088.44,2,3,100,100,1,2,40,73,9370,4209,0,6991,342,5449,0,26043,-1
79,12335.8,10353.925,621.54,4180.16,2,2,100,100,1,1,40,66,8686,3939,0,3481,105,1252,0,26052,-1
80,12335.8,10353.925,574.04,4221.61,2,3,100,100,1,3,40,75,6963,2131,0,3440,302,3888,1,5828,-1
81,12335.8,10353.925,668.14,4309.5,2,2,100,100,1,3,40,72,5842,2102,0,3037,282,5399,2,9437,-1
82,12335.8,10353.925,517.08,4374.74,2,3,100,100,1,5,40,74,10643,4887,0,1646,123,6034,1,11383,-1
83,12335.8,10353.925,395.65,4377.09,2,3,100,100,1,7,40,74,9729,6281,0,2213,166,7591,0,20370,-1
84,12335.8,10353.925,466.28,4315.74,2,3,100,100,1,5,40,77,5036,2640,0,2159,404,5792,0,13098,-1
85,4253.0,10353.925,571.42,4366.24,2,2,100,100,20,4,40,79,5036,2284,0,1828,238,6778,1,19256,-1
86,4253.0,10353.925,673.72,4377.77,2,3,100,100,20,3,40,81,5367,2528,0,2403,331,6918,1,25106,-1
87,4364.95,10918.325,532.91,4464.83,2,3,100,100,20,4,40,78,8723,4955,0,3595,423,10678,8,36159,-1
88,4253.0,10918.325,539.34,4492.3,2,2,100,100,20,4,40,82,6425,2940,0,2601,510,10714,2,45486,-1
89,4295.6,10918.325,413.56,4507.51,2,3,100,100,20,7,40,71,7656,4355,0,3410,385,6540,0,27840,-1
90,4295.6,10918.325,274.82,4458.05,2,3,100,100,20,7,40,69,12545,6639,0,3419,584,16534,1,50478,-1
91,4295.6,10918.325,324.36,4591.48,2,3,100,100,20,6,40,81,12559,4268,0,5156,618,18178,1,67117,-1
92,4268.275,10918.325,327.1,4740.15,2,3,100,100,16,6,40,80,7823,4068,0,2533,287,12750,1,65681,-1
93,4555.4,10918.325,549.6,4844.9,2,3,100,100,20,7,40,89,8497,3411,0,3747,557,15809,1,62203,-1
94,4555.4,10918.325,760.21,5012.87,2,3,100,100,20,8,40,109,7225,1423,0,4025,260,24528,2,87714,-1
95,4555.4,10918.325,1228.68,5136.11,2,3,100,100,20,7,40,127,9276,1670,0,4518,482,28191,3,89709,-1
96,4832.65,10860.725,1596.48,5016.01,2,3,100,100,20,4,40,118,8758,1122,0,4026,347,20816,0,59343,-1
97,4833.925,11211.35,1835.6,4999.63,2,3,100,100,20,4,40,126,12571,2608,0,5535,268,24707,4,40194,-1
98,8705.675,13899.85,2101.61,5176.03,3,3,100,100,1,2,40,143,12118,2980,0,20538,238,21307,9,74117,-1
99,4833.925,17415.0,2218.74,5709.25,2,3,100,100,20,4,40,132,11826,1431,0,34855,187,20237,6,97300,-1
100,8747.95,17415.0,2390.05,6137.18,3,3,100,100,2,5,40,131,12364,1491,0,28990,427,11433,4,40913,-1
101,9260.525,17632.75,2517.04,6081.2,3,3,100,100,2,5,40,129,18919,863,0,32176,299,14709,3,47812,-1
102,9260.525,21135.15,2722.92,6300.12,2,3,100,100,2,2,40,138,12684,1194,0,25891,417,10589,4,30822,-1
103,9260.525,23998.975,2753.74,6457.16,2,3,100,100,1,1,40,123,19557,1306,0,33287,1080,16035,9,53671,-1
104,9260.525,23998.975,2729.14,6670.42,2,3,100,100,1,1,40,118,8895,875,0,27848,529,8386,6,36808,-1
105,9260.525,23998.975,2801.1,6793.14,2,3,100,100,1,1,40,131,4437,506,0,23989,461,7118,5,35190,-1
106,4734.9,23998.975,2874.14,6413.56,2,3,100,100,20,1,40,136,5773,676,0,22714,165,8652,4,21322,-1
107,4734.9,23998.975,2981.84,6305.52,2,3,100,100,20,1,40,136,4413,1259,0,19545,87,8357,11,24528,-1
108,4749.5,20460.575,3095.99,6171.65,2,3,100,100,20,2,40,142,6371,1366,0,26539,210,7874,15,18000,-1
109,4749.5,22628.875,3112.9,6212.38,2,3,100,100,20,1,40,155,10198,1853,0,22349,369,9982,13,21378,-1
110,4749.5,22628.875,3026.52,5944.79,2,3,100,100,20,1,40,134,11292,1821,0,26744,519,7288,7,32781,-1
111,10389.225,22628.875,3203.57,5716.14,3,2,100,100,1,1,40,142,3367,993,0,25816,684,8318,21,26686,-1
112,10389.225,22628.875,3419.95,5754.46,2,3,100,100,1,1,40,151,6003,2133,0,31680,521,9248,30,31287,-1
113,10389.225,20707.3,3614.78,5700.92,2,3,100,100,1,2,40,160,3259,1327,0,17615,296,9652,2,25077,-1
114,10389.225,20707.3,3769.3,5617.42,3,3,100,100,4,2,40,149,2718,1133,0,20159,333,7612,14,24173,-1
115,11818.1,19330.425,3858.54,5430.06,3,3,100,100,2,1,40,150,5490,2453,0,21496,395,10421,1,21411,-1
116,14435.475,19330.425,3917.99,5344.5,3,3,100,100,1,1,40,149,4722,1475,0,24505,596,10066,27,21881,-1
117,14747.4,19330.425,4019.53,5405.34,3,3,100,100,4,1,40,139,6606,2361,0,23928,778,10065,10,28934,-1
118,14747.4,19842.3,4056.16,5706.96,3,3,100,100,5,2,40,159,5182,3151,0,32370,549,7718,5,42411,-1
119,14747.4,19330.425,4128.29,5776.66,3,3,100,100,4,1,40,148,8409,2472,0,34139,721,12407,7,54054,-1
120,14747.4,19330.425,4206.83,5788.99,3,3,100,100,6,1,40,157,6885,3497,0,33607,768,11668,15,53906,-1
121,14747.4,19330.425,4104.67,5858.16,3,3,100,100,3,1,40,153,5472,3195,0,22568,517,11268,18,45647,-1
122,21609.275,19330.425,4210.55,5795.18,3,3,100,100,1,1,40,160,6272,4482,0,19470,449,12669,21,64396,-1
123,17044.475,18163.475,4287.59,5748.27,3,3,100,100,2,1,40,175,3613,2216,0,25152,434,12764,23,48163,-1
124,17044.475,18163.475,4464.16,5943.39,3,3,100,100,2,2,40,171,3491,2313,0,25664,444,10088,40,58544,-1
125,17044.475,18163.475,4981.97,5966.13,3,3,100,100,3,2,40,172,3077,1881,0,20924,636,7377,9,64385,-1
126,17044.475,18163.475,5178.35,6228.39,3,3,100,100,3,2,40,181,2843,2152,0,21368,1109,6533,7,51788,-1
127,17264.85,18163.475,5400.08,6337.95,3,3,100,100,3,2,40,175,3760,1869,0,22561,1039,9966,1,59273,-1
128,17264.85,18410.525,5422.79,6483.99,3,3,100,100,4,3,40,176,6070,2441,0,24065,711,10373,24,62792,-1
129,20926.5,19315.5,5537.22,6351.0,3,3,100,100,2,2,40,162,3053,1781,0,16583,163,8001,49,27567,-1
130,20926.5,19315.5,5489.61,6372.74,3,3,100,100,1,2,40,163,2252,1426,0,16248,759,8215,15,27090,-1
131,20926.5,19315.5,5408.69,6210.6,3,3,100,100,1,2,40,153,2623,1263,0,14819,177,9054,25,17835,-1
132,20926.5,18410.525,5412.39,6151.31,3,3,100,100,1,1,40,157,4677,1517,0,18201,950,11664,9,35757,-1
133,20926.5,18410.525,5309.42,6049.97,3,3,100,100,1,1,40,148,1575,923,0,8385,88,10433,12,13238,-1
134,20926.5,18410.525,5269.01,5954.07,3,3,100,100,1,1,40,151,3423,786,0,8563,170,14869,5,14140,-1
135,20926.5,18410.525,5324.0,5880.74,3,3,100,100,1,1,40,142,3472,853,0,8093,298,12894,16,13560,-1
136,18953.3,18410.525,5171.17,5793.9,3,3,100,100,1,1,40,145,4037,572,0,8160,80,10242,38,8645,-1
137,17044.475,18410.525,5085.91,5708.83,3,3,100,100,1,1,40,152,5654,1056,0,7598,75,10950,43,9903,-1
138,15292.4,18410.525,4927.28,5368.9,2,2,100,100,1,1,40,128,3311,834,0,6695,28,6052,41,3770,-1
139,15292.4,18410.525,4704.92,5169.01,3,2,100,100,1,1,40,129,6225,764,0,4012,49,7373,7,2693,-1
140,15292.4,18410.525,4542.94,5020.87,2,2,100,100,1,1,40,125,3288,793,0,5123,58,7242,7,4066,-1
141,15292.4,18410.525,4537.84,5078.89,3,3,100,100,1,1,40,157,1503,697,0,5581,97,7155,32,6808,-1
142,15292.4,18410.525,4464.36,4988.17,2,3,100,100,1,1,40,141,2002,669,0,3483,121,9221,8,3242,-1
143,15292.4,18410.525,4333.8,4986.2,3,3,100,100,1,1,40,136,1515,389,0,2254,94,7076,7,2698,-1
144,15292.4,18410.525,4397.72,4889.59,3,3,100,100,1,1,40,148,987,499,0,2650,133,8285,24,7238,-1
145,15292.4,18410.525,4466.43,4900.78,3,3,100,100,1,1,40,142,1144,554,0,2639,100,7545,21,9406,-1
146,15292.4,18410.525,4524.97,4993.9,3,3,100,100,1,1,40,159,1448,814,0,4091,292,10866,29,15105,-1
147,15292.4,18410.525,4589.84,5100.57,3,3,100,100,1,1,40,154,2431,878,0,3054,345,11439,26,15003,-1
148,15292.4,18410.525,4585.82,5125.58,3,3,100,100,1,1,40,165,2758,1641,0,5018,745,12367,11,17721,-1
149,15292.4,18410.525,4551.02,5167.61,3,3,100,100,1,1,40,150,3161,2207,0,5974,807,11635,41,21146,-1
150,15292.4,18410.525,4567.02,5278.31,3,3,100,100,1,1,40,159,7290,3308,0,8204,1207,13938,11,17330,-1
151,15292.4,18410.525,4536.57,5346.74,3,3,100,100,1,1,40,157,5355,2433,0,9170,851,11682,36,13737,-1
152,15292.4,18410.525,4579.3,5302.72,3,3,100,100,1,1,40,166,5198,2416,0,9649,1567,7158,37,16940,-1
153,15292.4,18410.525,4571.58,5287.4,3,3,100,100,1,1,40,165,7979,3679,0,12582,1617,11466,17,24014,-1
154,15292.4,18410.525,4409.76,5240.24,3,3,100,100,1,1,40,167,10908,6903,0,14308,1397,10895,18,16663,-1
155,15292.4,22283.825,4432.73,5638.35,3,3,100,100,1,1,40,177,7168,4612,0,20750,1182,7902,10,29154,-1
156,15292.4,22283.825,4389.41,5817.67,3,3,100,100,1,1,40,172,6560,5611,0,22819,1568,5134,11,22980,-1
157,15292.4,22283.825,4472.89,5524.99,3,3,100,100,1,1,40,140,4441,3851,0,11934,1496,5529,23,16409,-1
158,15292.4,22283.825,4440.98,5284.46,3,3,100,100,1,1,40,151,3126,2489,0,13325,1218,5085,26,14279,-1
159,15292.4,22283.825,4387.82,5214.05,3,3,100,100,1,1,40,140,2961,2560,0,13595,1710,3796,27,19044,-1
160,11035.875,22283.825,4421.66,5434.24,3,3,100,100,4,1,40,155,4405,2739,0,14111,2300,4946,8,16288,-1
161,11035.875,22283.825,4316.73,5342.66,3,3,100,100,4,1,40,139,4567,2089,0,11356,1748,4485,11,8604,-1
162,11035.875,22283.825,4240.54,5237.57,3,3,100,100,4,1,40,137,4044,2143,0,9830,1715,6813,14,9357,-1
163,11035.875,18099.75,4145.74,5098.15,2,3,100,100,4,1,40,140,5301,4328,0,16031,1885,5490,13,17516,-1
164,10662.1,18099.75,4079.37,4783.55,3,3,100,100,4,1,40,128,7244,6583,0,11782,1693,4322,16,15997,-1
165,10662.1,18099.75,3994.99,4660.12,3,3,100,100,4,1,40,126,3029,2752,0,12540,1197,4293,11,11081,-1
166,10662.1,18099.75,4007.38,4757.67,3,3,100,100,5,1,40,137,4776,4418,0,12282,850,3779,17,12956,-1
167,10662.1,18671.8,3861.78,4859.36,3,3,100,100,3,3,40,117,3614,3479,0,14490,852,2691,21,18773,-1
168,10662.1,18671.8,3761.98,4946.22,3,3,100,100,1,3,40,128,2686,2356,0,15814,513,4094,22,18959,-1
169,10024.7,22386.625,3695.02,5222.68,3,3,100,100,3,2,40,115,2192,1866,0,20616,794,3782,14,31836,-1
170,10727.4,23275.375,3648.95,5497.59,3,3,100,100,3,2,40,124,2510,2118,0,17564,1091,2778,9,33438,-1
171,10727.4,23275.375,3652.7,5511.19,3,3,100,100,2,2,40,113,2862,1664,0,20807,891,4436,19,34788,-1
172,13387.8,23275.375,3661.04,6108.07,3,3,100,100,1,3,40,117,2967,1923,0,20389,923,4703,16,36634,-1
173,13387.8,24811.1,3553.14,6505.15,3,3,100,100,1,1,40,118,4417,3082,0,20420,1008,5272,14,38074,-1
174,13387.8,24811.1,3508.21,6536.62,3,3,100,100,1,1,40,102,3979,2923,0,14815,461,5552,7,35710,-1
175,10496.1,24811.1,3287.22,6334.23,2,3,100,100,3,1,40,91,3402,2271,0,14306,473,4569,5,36755,-1
176,10496.1,24811.1,3264.94,6227.88,3,3,100,100,4,1,40,95,1847,1481,0,10293,333,3354,13,37395,-1
177,13594.45,24811.1,3182.96,6058.89,3,3,100,100,1,1,40,108,3208,2995,0,14643,355,3128,10,41051,-1
178,13594.45,24811.1,2839.62,6040.45,2,3,100,100,1,1,40,80,6870,6697,0,7775,321,4471,32,37163,-1
179,13594.45,24811.1,2771.63,5875.97,2,3,100,100,1,1,40,90,3040,2751,0,6459,461,4421,53,38382,-1
180,13594.45,24811.1,2656.66,5820.99,3,3,100,100,1,1,40,71,2308,1605,0,3819,286,4257,70,23408,-1
181,13594.45,23275.375,2652.06,5501.71,2,2,100,100,1,2,40,90,2560,2134,0,5841,397,4044,31,31328,-1
182,13594.45,23275.375,2672.84,5526.51,3,3,100,100,1,2,40,99,2146,1870,0,4979,252,3671,42,36205,-1
183,13594.45,23275.375,2887.49,5571.11,3,3,100,100,1,1,40,95,1925,1640,0,4954,204,4014,68,35193,-1
184,13594.45,23275.375,2961.2,5511.73,2,3,100,100,1,1,40,100,3283,3142,0,3824,156,3151,35,42128,-1
185,9838.1,23275.375,2946.61,5389.07,3,3,100,100,7,1,40,108,4145,3594,0,2641,179,4943,52,34221,-1
186,9838.1,17907.225,2928.92,5232.66,3,3,100,100,6,1,40,116,5962,4998,0,3118,248,4993,36,29613,-1
187,9838.1,17907.225,2959.66,5288.49,2,3,100,100,5,1,40,125,6933,5567,0,4886,205,5104,48,38307,-1
188,9838.1,17907.225,2001.01,5266.16,3,3,100,100,5,1,40,123,22827,21796,0,4581,195,6617,31,30600,-1
189,9838.1,17907.225,1711.11,5326.55,3,3,100,100,3,1,40,111,13124,12160,0,5058,426,4592,41,32996,-1
190,10737.8,17907.225,1405.5,5192.48,3,3,100,100,1,1,40,114,14992,13367,0,6682,309,5271,36,20432,-1
191,10737.8,17907.225,1525.0,5120.93,2,3,100,100,1,1,40,126,11537,9840,0,7414,329,5668,43,23747,-1
192,10737.8,17907.225,1830.53,5089.59,2,2,100,100,1,1,40,118,6753,5661,0,5122,311,5138,35,21486,-1
193,10737.8,17907.225,1852.94,4897.49,2,2,100,100,1,1,40,106,8794,8268,0,6219,291,5117,52,34686,-1
194,10737.8,17907.225,1709.56,4838.03,2,2,100,100,1,1,40,117,12954,12058,0,8445,353,6683,51,22587,-1
195,10737.8,17907.225,2074.87,4865.53,2,2,100,100,1,1,40,131,5029,4573,0,6323,357,5707,68,35941,-1
196,10737.8,16126.375,2211.96,4830.43,2,3,100,100,1,2,40,109,6788,5314,0,6708,389,5167,54,30913,-1
197,10737.8,15142.35,1508.3,4784.1,2,2,100,100,1,2,40,94,22561,19026,0,6793,578,7034,15,25146,-1
198,10737.8,15142.35,485.69,4706.09,2,2,100,100,1,2,40,76,20700,19297,0,9627,289,3579,34,15882,-1
199,10737.8,15142.35,-188.33,4484.22,2,2,100,100,1,2,40,57,16597,15675,0,3061,220,1370,22,3715,-1
200,10737.8,15142.35,-653.55,4346.1,2,2,100,100,1,2,40,59,17175,15238,0,2416,124,1138,3,1753,-1
201,10737.8,15142.35,-1084.28,4203.83,2,2,100,100,1,2,40,55,18116,16887,0,2588,210,1279,10,2340,-1
202,10737.8,15142.35,-1363.09,4091.49,2,2,100,100,1,2,40,54,17368,15952,0,2713,255,1356,6,1839,-1
203,10737.8,14360.975,-1594.31,3960.71,2,2,100,100,1,1,40,47,15762,14598,0,2187,37,1758,10,1489,-1
204,10737.8,14360.975,-1771.74,3861.44,2,2,100,100,1,1,40,45,17872,14878,0,2078,93,1486,6,1879,-1
205,10737.8,14360.975,-2086.09,3829.07,2,2,100,100,1,1,40,47,19015,15856,0,1405,106,1978,6,1701,-1
206,10737.8,14360.975,-2354.35,3872.71,2,2,100,100,1,1,40,65,26712,19977,0,3624,311,2567,6,5933,-1
207,10737.8,14360.975,-2751.76,3948.41,2,3,100,100,1,1,40,59,28386,22395,0,7556,195,2020,3,7748,-1
208,10737.8,12722.7,-2683.82,3864.65,2,2,100,100,1,2,40,71,26341,20667,0,10325,178,3916,18,18008,-1
209,4542.6,12722.7,-2126.21,3791.02,2,2,100,100,10,2,40,67,14834,10453,0,9384,170,3878,5,29062,-1
210,5108.725,12722.7,-1772.48,3770.89,2,2,100,100,8,2,40,76,16105,11630,0,7158,359,3889,9,18022,-1
211,5235.55,12722.7,-1221.65,3757.13,2,2,100,100,18,2,40,65,15265,10008,0,7140,282,3683,3,23634,-1
212,5235.9,12722.7,-622.43,3692.73,2,2,100,100,20,2,40,76,17042,8015,0,10782,212,5556,19,27759,-1
213,5279.2,12722.7,-84.91,3773.96,2,2,100,100,20,2,40,81,13129,6379,0,9228,176,5727,10,29723,-1
214,5316.5,12722.7,276.03,3821.34,2,2,100,100,20,2,40,85,17274,6979,0,10379,400,6005,3,35729,-1
215,5639.55,12722.7,772.01,3847.81,2,2,100,100,20,1,40,86,9167,3685,0,8431,509,5700,2,36351,-1
216,5639.55,5023.75,1013.19,3848.6,2,2,100,100,20,20,40,79,13141,5944,0,12845,166,7257,15,46605,-1
217,5470.1,5015.75,1131.68,3906.12,2,2,100,100,20,20,40,75,12104,6376,0,8092,126,5640,11,30664,-1
218,13355.675,9893.9,1510.6,3970.43,3,3,100,100,1,2,40,100,12514,6023,0,10707,865,8189,12,49797,-1
219,13355.675,9540.775,1679.74,3882.87,2,3,100,100,1,1,40,64,9709,2540,0,1948,160,6355,1,27879,-1
220,13355.675,9540.775,1746.08,3861.34,2,2,100,100,1,1,40,74,9816,3070,0,2426,62,7187,0,25816,-1
221,13355.675,9540.775,1851.6,3944.37,2,2,100,100,1,1,40,79,7889,1775,0,3583,93,8076,2,32512,-1
